"X","Y"
1433.6439018193,-1495.26571990645
-146.356098180699,-1455.26571990645
-156.356098180699,-1445.26571990645
-146.356098180699,-1445.26571990645
-136.356098180699,-1445.26571990645
-116.356098180699,-1445.26571990645
-216.356098180699,-1435.26571990645
-206.356098180699,-1435.26571990645
-196.356098180699,-1435.26571990645
-186.356098180699,-1435.26571990645
-176.356098180699,-1435.26571990645
-166.356098180699,-1435.26571990645
-156.356098180699,-1435.26571990645
-146.356098180699,-1435.26571990645
-136.356098180699,-1435.26571990645
-126.356098180699,-1435.26571990645
-236.356098180699,-1425.26571990645
-226.356098180699,-1425.26571990645
-216.356098180699,-1425.26571990645
-206.356098180699,-1425.26571990645
-196.356098180699,-1425.26571990645
-186.356098180699,-1425.26571990645
-176.356098180699,-1425.26571990645
-166.356098180699,-1425.26571990645
-156.356098180699,-1425.26571990645
-146.356098180699,-1425.26571990645
-136.356098180699,-1425.26571990645
-246.356098180699,-1415.26571990645
-236.356098180699,-1415.26571990645
-226.356098180699,-1415.26571990645
-216.356098180699,-1415.26571990645
-206.356098180699,-1415.26571990645
-196.356098180699,-1415.26571990645
-186.356098180699,-1415.26571990645
-176.356098180699,-1415.26571990645
-166.356098180699,-1415.26571990645
-156.356098180699,-1415.26571990645
-146.356098180699,-1415.26571990645
-136.356098180699,-1415.26571990645
1533.6439018193,-1415.26571990645
1593.6439018193,-1415.26571990645
-276.356098180699,-1405.26571990645
-266.356098180699,-1405.26571990645
-256.356098180699,-1405.26571990645
-246.356098180699,-1405.26571990645
-236.356098180699,-1405.26571990645
-226.356098180699,-1405.26571990645
-216.356098180699,-1405.26571990645
-206.356098180699,-1405.26571990645
-196.356098180699,-1405.26571990645
-186.356098180699,-1405.26571990645
-176.356098180699,-1405.26571990645
-166.356098180699,-1405.26571990645
-156.356098180699,-1405.26571990645
-146.356098180699,-1405.26571990645
1523.6439018193,-1405.26571990645
1533.6439018193,-1405.26571990645
1553.6439018193,-1405.26571990645
1563.6439018193,-1405.26571990645
1573.6439018193,-1405.26571990645
-306.356098180699,-1395.26571990645
-296.356098180699,-1395.26571990645
-286.356098180699,-1395.26571990645
-276.356098180699,-1395.26571990645
-266.356098180699,-1395.26571990645
