"X","Y"
-173.856098180699,-1437.76571990645
-148.856098180699,-1437.76571990645
-248.856098180699,-1412.76571990645
-223.856098180699,-1412.76571990645
-198.856098180699,-1412.76571990645
-173.856098180699,-1412.76571990645
-148.856098180699,-1412.76571990645
1526.1439018193,-1412.76571990645
-298.856098180699,-1387.76571990645
-273.856098180699,-1387.76571990645
-248.856098180699,-1387.76571990645
-223.856098180699,-1387.76571990645
-198.856098180699,-1387.76571990645
-173.856098180699,-1387.76571990645
-148.856098180699,-1387.76571990645
1526.1439018193,-1387.76571990645
1551.1439018193,-1387.76571990645
1576.1439018193,-1387.76571990645
-323.856098180699,-1362.76571990645
-298.856098180699,-1362.76571990645
-273.856098180699,-1362.76571990645
-248.856098180699,-1362.76571990645
-223.856098180699,-1362.76571990645
-198.856098180699,-1362.76571990645
-173.856098180699,-1362.76571990645
1526.1439018193,-1362.76571990645
1551.1439018193,-1362.76571990645
1576.1439018193,-1362.76571990645
-323.856098180699,-1337.76571990645
-298.856098180699,-1337.76571990645
-273.856098180699,-1337.76571990645
-248.856098180699,-1337.76571990645
-223.856098180699,-1337.76571990645
-198.856098180699,-1337.76571990645
-173.856098180699,-1337.76571990645
1451.1439018193,-1337.76571990645
1476.1439018193,-1337.76571990645
1501.1439018193,-1337.76571990645
1526.1439018193,-1337.76571990645
1551.1439018193,-1337.76571990645
1576.1439018193,-1337.76571990645
1601.1439018193,-1337.76571990645
-323.856098180699,-1312.76571990645
-298.856098180699,-1312.76571990645
-273.856098180699,-1312.76571990645
-248.856098180699,-1312.76571990645
-223.856098180699,-1312.76571990645
-198.856098180699,-1312.76571990645
-173.856098180699,-1312.76571990645
-148.856098180699,-1312.76571990645
1451.1439018193,-1312.76571990645
1476.1439018193,-1312.76571990645
1501.1439018193,-1312.76571990645
1526.1439018193,-1312.76571990645
1551.1439018193,-1312.76571990645
1576.1439018193,-1312.76571990645
1601.1439018193,-1312.76571990645
-348.856098180699,-1287.76571990645
-323.856098180699,-1287.76571990645
-298.856098180699,-1287.76571990645
-273.856098180699,-1287.76571990645
-248.856098180699,-1287.76571990645
-223.856098180699,-1287.76571990645
-198.856098180699,-1287.76571990645
-148.856098180699,-1287.76571990645
1401.1439018193,-1287.76571990645
1451.1439018193,-1287.76571990645
1476.1439018193,-1287.76571990645
1501.1439018193,-1287.76571990645
1526.1439018193,-1287.76571990645
1551.1439018193,-1287.76571990645
1576.1439018193,-1287.76571990645
1601.1439018193,-1287.76571990645
-348.856098180699,-1262.76571990645
-323.856098180699,-1262.76571990645
-298.856098180699,-1262.76571990645
-273.856098180699,-1262.76571990645
-248.856098180699,-1262.76571990645
-223.856098180699,-1262.76571990645
-198.856098180699,-1262.76571990645
-173.856098180699,-1262.76571990645
-148.856098180699,-1262.76571990645
-123.856098180699,-1262.76571990645
1426.1439018193,-1262.76571990645
1451.1439018193,-1262.76571990645
1476.1439018193,-1262.76571990645
1501.1439018193,-1262.76571990645
1526.1439018193,-1262.76571990645
1551.1439018193,-1262.76571990645
1576.1439018193,-1262.76571990645
1601.1439018193,-1262.76571990645
-373.856098180699,-1237.76571990645
-348.856098180699,-1237.76571990645
-323.856098180699,-1237.76571990645
-298.856098180699,-1237.76571990645
-273.856098180699,-1237.76571990645
-248.856098180699,-1237.76571990645
-223.856098180699,-1237.76571990645
-198.856098180699,-1237.76571990645
-173.856098180699,-1237.76571990645
-148.856098180699,-1237.76571990645
1376.1439018193,-1237.76571990645
1401.1439018193,-1237.76571990645
1426.1439018193,-1237.76571990645
1451.1439018193,-1237.76571990645
1476.1439018193,-1237.76571990645
1501.1439018193,-1237.76571990645
1526.1439018193,-1237.76571990645
1551.1439018193,-1237.76571990645
1576.1439018193,-1237.76571990645
1601.1439018193,-1237.76571990645
-373.856098180699,-1212.76571990645
-348.856098180699,-1212.76571990645
-323.856098180699,-1212.76571990645
-298.856098180699,-1212.76571990645
-273.856098180699,-1212.76571990645
